No,Time,Temperature,Prototype_Formulation,Packaging,Purity
1,180,5,1,1,0.60
2,270,5,1,1,0.55
3,730,5,1,1,0.84
4,180,5,2,1,0.34
5,270,5,2,1,0.46
6,730,5,2,1,0.75
7,180,5,3,1,0.40
8,270,5,3,1,0.57
9,730,5,3,1,0.81
10,180,5,1,2,
11,270,5,1,2,0.66
12,730,5,1,2,0.89
13,180,5,2,2,0.58
14,270,5,2,2,0.68
15,730,5,2,2,0.95
16,180,5,3,2,0.56
17,270,5,3,2,0.63
18,730,5,3,2,0.87
19,758,30,1,1,1.13
20,758,30,2,1,1.16
21,758,30,3,1,1.12
22,758,30,1,2,1.21
23,758,30,2,2,1.30
24,758,30,3,2,1.12
