No,Time,Temperature,Prototype_Formulation,Packaging,Purity
1,0,5,1,1,98.0
2,13,5,1,1,98.0
3,33,5,1,1,98.1
4,46,5,1,1,97.4
5,60,5,1,1,97.6
6,90,5,1,1,98.0
7,0,25,1,1,98.0
8,13,25,1,1,97.7
9,33,25,1,1,96.9
10,46,25,1,1,95.8
11,60,25,1,1,95.7
12,90,25,1,1,95.2
13,0,30,1,1,98.0
14,13,30,1,1,97.6
15,33,30,1,1,96.3
16,46,30,1,1,95.5
17,60,30,1,1,94.5
18,90,30,1,1,93.0
19,0,37,1,1,98.0
20,13,37,1,1,96.5
21,33,37,1,1,93.9
22,46,37,1,1,91.4
23,60,37,1,1,89.6
24,90,37,1,1,85.9
25,0,40,1,1,98.0
26,13,40,1,1,96.1
27,33,40,1,1,92.4
28,46,40,1,1,88.9
29,60,40,1,1,87.2
30,90,40,1,1,82.1
31,0,5,2,1,97.9
32,13,5,2,1,97.9
33,33,5,2,1,98.0
34,46,5,2,1,97.3
35,60,5,2,1,97.8
36,90,5,2,1,97.7
37,0,25,2,1,97.9
38,13,25,2,1,97.6
39,33,25,2,1,96.5
40,46,25,2,1,95.5
41,60,25,2,1,95.5
42,90,25,2,1,94.8
43,0,30,2,1,97.9
44,13,30,2,1,97.3
45,33,30,2,1,95.7
46,46,30,2,1,95.0
47,60,30,2,1,94.0
48,90,30,2,1,92.5
49,0,37,2,1,97.9
50,13,37,2,1,96.2
51,33,37,2,1,93.7
52,46,37,2,1,91.2
53,60,37,2,1,89.5
54,90,37,2,1,85.7
55,0,40,2,1,97.9
56,13,40,2,1,95.8
57,33,40,2,1,91.9
58,46,40,2,1,88.9
59,60,40,2,1,86.2
60,90,40,2,1,80.6
61,0,5,3,1,98.0
62,13,5,3,1,98.0
63,33,5,3,1,97.9
64,46,5,3,1,97.4
65,60,5,3,1,97.7
66,90,5,3,1,97.9
67,0,25,3,1,98.0
68,13,25,3,1,97.6
69,33,25,3,1,96.8
70,46,25,3,1,96.1
71,60,25,3,1,95.7
72,90,25,3,1,95.3
73,0,30,3,1,98.0
74,13,30,3,1,97.5
75,33,30,3,1,96.0
76,46,30,3,1,94.9
77,60,30,3,1,94.4
78,90,30,3,1,93.2
79,0,37,3,1,98.0
80,13,37,3,1,96.5
81,33,37,3,1,93.6
82,46,37,3,1,91.4
83,60,37,3,1,90.0
84,90,37,3,1,86.4
85,0,40,3,1,98.0
86,13,40,3,1,96.3
87,33,40,3,1,92.0
88,46,40,3,1,89.5
89,60,40,3,1,87.4
90,90,40,3,1,82.7
91,0,5,1,2,97.8
92,13,5,1,2,97.8
93,33,5,1,2,97.9
94,46,5,1,2,97.6
95,60,5,1,2,97.6
96,90,5,1,2,97.9
97,0,25,1,2,97.8
98,13,25,1,2,97.5
99,33,25,1,2,96.9
100,46,25,1,2,96.4
101,60,25,1,2,96.3
102,90,25,1,2,95.3
103,0,30,1,2,97.8
104,13,30,1,2,97.2
105,33,30,1,2,96.4
106,46,30,1,2,95.1
107,60,30,1,2,94.8
108,90,30,1,2,93.1
109,0,37,1,2,98.0
110,13,37,1,2,96.5
111,33,37,1,2,93.6
112,46,37,1,2,91.4
113,60,37,1,2,90.0
114,90,37,1,2,86.4
115,0,40,1,2,98.0
116,13,40,1,2,96.3
117,33,40,1,2,92.0
118,46,40,1,2,89.5
119,60,40,1,2,87.4
120,90,40,1,2,82.7
121,0,5,2,2,97.7
122,13,5,2,2,97.7
123,33,5,2,2,97.8
124,46,5,2,2,97.5
125,60,5,2,2,97.5
126,90,5,2,2,97.8
127,0,25,2,2,97.7
128,13,25,2,2,97.3
129,33,25,2,2,96.9
130,46,25,2,2,95.9
131,60,25,2,2,95.8
132,90,25,2,2,94.8
133,0,30,2,2,97.7
134,13,30,2,2,97.1
135,33,30,2,2,96.2
136,46,30,2,2,94.9
137,60,30,2,2,94.5
138,90,30,2,2,92.6
139,0,37,2,2,97.7
140,13,37,2,2,96.1
141,33,37,2,2,93.2
142,46,37,2,2,91.4
143,60,37,2,2,90.0
144,90,37,2,2,85.6
145,0,40,2,2,97.7
146,13,40,2,2,95.5
147,33,40,2,2,91.9
148,46,40,2,2,89.5
149,60,40,2,2,87.0
150,90,40,2,2,81.0
151,0,5,3,2,97.8
152,13,5,3,2,97.8
153,33,5,3,2,97.7
154,46,5,3,2,97.5
155,60,5,3,2,97.9
156,90,5,3,2,97.8
157,0,25,3,2,97.8
158,13,25,3,2,97.6
159,33,25,3,2,97.1
160,46,25,3,2,96.5
161,60,25,3,2,96.4
162,90,25,3,2,95.1
163,0,30,3,2,97.8
164,13,30,3,2,97.3
165,33,30,3,2,96.4
166,46,30,3,2,95.3
167,60,30,3,2,94.7
168,90,30,3,2,93.0
169,0,37,3,2,97.8
170,13,37,3,2,96.4
171,33,37,3,2,93.8
172,46,37,3,2,91.8
173,60,37,3,2,90.1
174,90,37,3,2,86.1
175,0,40,3,2,97.8
176,13,40,3,2,96.0
177,33,40,3,2,92.2
178,46,40,3,2,90.0
179,60,40,3,2,87.8
180,90,40,3,2,83.2
