Time (months),Temp (°C),Temp (K),[A] Monomer (single),[A] Monomer (parallel),[B] HMW,[C] LMW
0,5,278.15,99.1,99.1,0.0,0.0
1,5,278.15,99.09914180934608,99.09914180934608,0.0002396190496475696,0.0006185716042635588
2,5,278.15,99.09828362612396,99.09828362612396,0.00047923602423482234,0.0012371378518019698
3,5,278.15,99.09742545033356,99.09742545033356,0.0007188509237771181,0.0018556987426548842
4,5,278.15,99.09656728197484,99.09656728197484,0.000958463748289817,0.002474254276861954
5,5,278.15,99.09570912104773,99.09570912104773,0.0011980744977913513,0.0030928044544707607
6,5,278.15,99.09485096755215,99.09485096755215,0.0014376831723032244,0.0037113492755368165
7,5,278.15,99.09399282148806,99.09399282148806,0.0016772897718377248,0.004329888740091843
8,5,278.15,99.09313468285538,99.09313468285538,0.0019168942964194282,0.004948422848199283
9,5,278.15,99.09227655165404,99.09227655165404,0.002156496746060623,0.005566951599890855
10,5,278.15,99.091418427884,99.091418427884,0.002396097120782813,0.006185474995222076
11,5,278.15,99.09056031154515,99.09056031154515,0.0026356954206044297,0.006803993034240523
12,5,278.15,99.08970220263747,99.08970220263747,0.002875291645540834,0.00742250571698585
13,5,278.15,99.08884410116087,99.08884410116087,0.0031148857956104577,0.00804101304350564
14,5,278.15,99.08798600711532,99.08798600711532,0.0033544778708317325,0.008659515013847471
15,5,278.15,99.0871279205007,99.0871279205007,0.0035940678712230905,0.009278011628058929
16,5,278.15,99.086269841317,99.086269841317,0.0038336557968029635,0.009896502886187594
17,5,278.15,99.08541176956413,99.08541176956413,0.004073241647586712,0.010514988788273118
18,5,278.15,99.08455370524203,99.08455370524203,0.004312825423595839,0.011133469334371012
19,5,278.15,99.08369564835063,99.08369564835063,0.004552407124845706,0.011751944524520929
20,5,278.15,99.08283759888987,99.08283759888987,0.004791986751354745,0.012370414358770449
21,5,278.15,99.08197955685968,99.08197955685968,0.005031564303141386,0.012988878837167156
22,5,278.15,99.08112152226,99.08112152226,0.005271139780224063,0.013607337959758629
23,5,278.15,99.08026349509078,99.08026349509078,0.005510713182621207,0.014225791726592454
24,5,278.15,99.07940547535193,99.07940547535193,0.005750284510348178,0.014844240137708279
25,5,278.15,99.0785474630434,99.0785474630434,0.005989853763426482,0.015462683193161618
26,5,278.15,99.07768945816512,99.07768945816512,0.006229420941871475,0.016081120892992122
27,5,278.15,99.07683146071706,99.07683146071706,0.006468986045698521,0.016699553237239442
28,5,278.15,99.0759734706991,99.0759734706991,0.0067085490749321935,0.017317980225967023
29,5,278.15,99.0751154881112,99.0751154881112,0.006948110029587853,0.017936401859214513
30,5,278.15,99.0742575129533,99.0742575129533,0.007187668909680861,0.018554818137021565
31,5,278.15,99.07339954522533,99.07339954522533,0.007427225715229648,0.01917322905943576
32,5,278.15,99.07254158492722,99.07254158492722,0.007666780446255718,0.01979163462651261
33,5,278.15,99.07168363205894,99.07168363205894,0.007906333102774433,0.02041003483829177
34,5,278.15,99.07082568662037,99.07082568662037,0.008145883684804222,0.02102842969482082
35,5,278.15,99.06996774861149,99.06996774861149,0.008385432192363517,0.02164681919614734
36,5,278.15,99.0691098180322,99.0691098180322,0.008624978625470753,0.022265203342318914
0,25,298.15,99.1,99.1,0.0,0.0
1,25,298.15,99.08153938965926,99.08153938965926,0.006074264164721279,0.012386346176022184
2,25,298.15,99.06308221820986,99.06308221820986,0.012147396799437209,0.02477038499069577
3,25,298.15,99.04462848501123,99.04462848501123,0.018219398114929796,0.037152116873837265
4,25,298.15,99.02617818942286,99.02617818942286,0.02429026832194123,0.04953154225518195
5,25,298.15,99.00773133080442,99.00773133080442,0.03036000763118112,0.06190866156439869
6,25,298.15,98.98928790851562,98.98928790851562,0.03642861625331201,0.07428347523106037
7,25,298.15,98.97084792191635,98.97084792191635,0.042496094398967475,0.08665598368468082
8,25,298.15,98.95241137036659,98.95241137036659,0.048562442278730425,0.0990261873546705
9,25,298.15,98.93397825322647,98.93397825322647,0.05462766010315117,0.1113940866703735
10,25,298.15,98.9155485698562,98.9155485698562,0.06069174808274021,0.1237596820610526
11,25,298.15,98.89712231961614,98.89712231961614,0.06675470642796459,0.1361229739558821
12,25,298.15,98.87869950186675,98.87869950186675,0.07281653534926243,0.14848396278397719
13,25,298.15,98.86028011596864,98.86028011596864,0.07887723505701748,0.1608426489743423
14,25,298.15,98.84186416128247,98.84186416128247,0.08493680576158821,0.17319903295593025
15,25,298.15,98.8234516371691,98.8234516371691,0.09099524767328962,0.18555311515760525
16,25,298.15,98.80504254298945,98.80504254298945,0.09705256100239328,0.19790489600814287
17,25,298.15,98.78663687810463,98.78663687810463,0.10310874595913093,0.2102543759362376
18,25,298.15,98.76823464187576,98.76823464187576,0.10916380275370534,0.22260155537052473
19,25,298.15,98.74983583366418,98.74983583366418,0.11521773159627224,0.23494643473954369
